Sno,Name/Address,Installed Capacity (MTA)
1,"M/s. Green Waves Environmental Solution, Sy. No. 43/1, Mindi (V), Gajuwaka (M), Visakhapatnam District.",480
2,"M/s. Apna Bhoomi E-Waste Management Services, Sy. No. 119, Near Bharat Junction, Kusalapuram (V), Etcherla (M), Srikakulam District. - 532005",300
3,"M/s. Veera Waste Management Systems, Plot No. 42, Block-D Extension, IDA, Autonagar Visakhapatnam District.-530012,",5820
4,"M/s. Binbag Recycling Services Pvt. Ltd, Anatapur District",300
5,"M/s. Clean Earth Green Earth Solutions, Krishna District",22.5
6,"M/s. E-Parisaraa Pvt. Ltd, Plot No. 42A/4, Sy. No. 285 Part And Sy. No. 288 (P), Gollapuam (V), Hindupuram (M), Annathapuramu Distirct",300
7,"M/s. World Scrap Recycling Solutions (P) Ltd Plot No 50,Chittor District",6900
8,"M/s World Scrap Recycling Solutions Pvt Ltd., Shed No 10 11 12,Chittor District",18000
9,"M/s. Sungeel India Recycling Pvt. Ltd., Plot No. 59C & 59D, APIIC Industrial Park, Gollapuram (V), Hindupur (M), Anantapur District-515211",10380
10,"M/s. Ramky ARM Recycling Pvt. Ltd., Plot No.84/A & B, Road, No. 20/5, JNPC, Parawada,Visakhapatnam District- 531019",1500
