Sno,Name/Address,Installed Capacity (MTA)
1,"M/s Honey Disposal Store, Plot No. 67-68 Jarrout Road, Village Mandour Industrial Area Ambala city.",300
2,"M/s. Thapar Disposal Industries, 902A/5/6, Chara Mandi Road, Ambala City",1825
3,"M/s. Mittal Battery, plot No. 349, Indl-Area, Ph- 1, Panchkula. (Not available on website)",3600
4,"M/s. Exigo Recycling Pvt. Ltd., G. T. Road, Samalkha Panipat",6000
5,"M/s. Exigo Recycling (P) Ltd., Barsat Road, Panipat",18000
6,"M/s. Adinath Recyclotronix (P) Ltd., Plot No.#361, Industrial Estate, HSIIDC, Panipat(Not available on website)",1080
7,"M/s Earth Waste Management Pvt. Ltd. Vill- Ismaila, Distt. Rohtak",600
8,"M/s. Giriraj Metal, P. No. 39 HSIIDC, IE, Kutana, Rohtak",300
9,"M/s. Green World International, Pvt. Ltd., GR 60-61 Ganpati Industrial Dham Industrial Area Bahadugarh Haryana",5000
10,"M/s Renu Recycling Company , Plot No. 1257, MIE-B, Bahadurgarh",1800
11,"M/s AMN E-Waste Management Pvt Ltd., Plot No. 171, Sector-59, Industrial Area, Faridabad (Not available on website)",290
12,"M/s Endeavor Re-processor and Recyclers India, Plot no. 323, Sec-24, industrial Area, Faridabad  (Not available on website)",365
13,"M/s E-waste Solutions, Industrial Shed, 1A, Industrial Estate, Sec-6, Faridabad",1000
14,"M/s V S Enterprises, Plot no. 9, Pragati Vihar, Sector-59, Faridabad (Not available on website)",300
15,"M/s Dotline Informatics Pvt. Ltd., Plot No. 302, Ph-V, HSIIDC, Indl. Estate, Rai, Distt. Sonipat",350
16,"M/s RBH E-Waste Recycle Hub Pvt. Ltd. (old name M/s Satellite Vision India), Plot No. 130,HSIIDC, Rai, Distt. Sonipat",912.5
17,"M/s Global Waste Solution, Village Ram Nagar, Tehsil Ganaur, Distt. Sonipat",9490
18,"M/s Global Waste Solution Unit-II, Village Dhaturi Tehsil Ganaur, Distt. Sonipat",8249
19,"M/s Tes Amm (India) Pvt. Ltd., Village Wazidpur Saboli, Distt. Sonepat",12000
20,"M/s Bluenvir, 81, HSIIDC, Rai, Distt. Sonipat",435
21,"M/s. EARTH SENSE RECYCLE PVT LTD, PlotNo. 100, Sector - 5, IMT Manesar, Gurgaon",2160
22,"M/s. Nirvana Recycling Pvt. Ltd., Plot No. D-6, Udyog, Vihar, Phase-VI, Sector-37, Gurugram",6030
23,"M/s. Green Vortex Waste Management Pvt Ltd.Plot No 177, Sector 7, IMT Manesar",1500
24,"M/s. SMS ENTERPRISES, Plot No. 544- D, First Floor, Sector -37, Pace City - II, Gurgaon (Haryana)",360
25,"M/s. Apicem Recyclers Pvt. Ltd., Plot No. 359, Sector-8, IMT Manesar, Gurugram, Haryana",510
26,"M/s. KM Global E-Waste Private Limited, Ground Floor Plot no. -359, Sector-8, IMT Manesar, Gurugram, Haryana",510
27,"M/s  3 R Recycler, Plot No. 392, Sector-8, IMT Manesar Gurgaon",2994
28,"M/s. Deshwal Waste Management Pvt Ltd, plot No-292, Sec-7, IMT Manesar, Gurgaon, Haryana",100001800
29,"M/s. Deshwal Waste Management Pvt Ltd, Plot No. -116, Sec-8, IMT Manesar, Gurgaon, Haryana",4652.1
30,"M/s. Namo E-Waste Management Ltd., 14/1, Mathura Road, Faridabad Haryana",5796
31,"M/s. E Waste Recyclers India, Shed no. 15 Roz Ka Meo Industrial Area Nuh.",667
32,"M/s Radhey Steel Traders, Vill. PatviBarara Road, Shahabad, Distt. Kurukshetra",600
33,"M/s Pegasus Waste Management Pvt. Ltd., Village -Bhora Kalan, Gurugram",13134
34,"M/s. 3 R Zero Waste Pvt. Ltd.,Plot No.- 62,Sector-8, IMT Manesar",500
35,"M/s. Ecoverva Waste Recycling Private Limited, Plot No. 350Block C Village Pathreri Ansal Pioneer Industrial Park,Distt. Gurgaon",353.0708
36,"M/s. Naturevolt Recyclers India Pvt Ltd, Plot No. 323, Part-IV, Sector-24,Faridabad",5400
37,"M/s. AV Green Soluti ons Pvt Ltd., Plot No. 274, Sector-24 , Industrial Area,Faridabad",381
38,"M/s. Re Chakra Waste Management LLP., Plot No. -18, Sector-6, Faridabad",8931
39,"M/s. CLG Projects LLP, Plot no 75-76 sector 59 pragati vihar Ballabgarh faridabad",450
40,"M/s. SSL E Waste Management LLP, Plot No. 410, Sector- 68, IMT, Faridabad",423
41,"M/s Shunty Disposal Store, Manmohan Nagar,G.T Road, Ambala city",900
42,"M/s. Green Wealth Solutions Pvt. Ltd. Plot No. 109, IE,Kutana, HSIIDC, Hissar Road, Rohtak",690
43,"M/s. Endeavor Recyclers India Private Limited, 71//14/2/2, 71//15/1, Village- Hassangarh,Tehsil- Sampla, District- Rohtak,Haryana-124404",28350
