Sno,Name/Address,Installed Capacity (MTA)
1,"M/s. Sriram Eco Raksha Computer Services Pvt. Ltd. No. B-29, KSSIDC Indl. Estate, Bommasandra, Hosur Road, Anekal Taluk, Bangalore – 560 099",360
2,"M/s. E-Friendly Waste Recyclers, First Floor, No. 17 1st, Cross, Azeez Sait Industrial Town, Nayandahalli, Bangalore-560039",300
3,"M/s. Eco Globe E-Waste Recyclers, Plot No. 87, 2nd Phase, 2nd Sector, Bidadi Industrial Area, Bidadi Hobli, Ramanagra Taluk and District",1200
4,"M/s. E-Hasiru, No. 168/B, 1st Floor, 7th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore – 558",300
5,"M/s. Green Enabled IT Solutions Pvt. Ltd., No. 2/1, 27th Cross, Behind Krishna Grand Hotel, Banashankari 2nd Stage, Bengaluru",600
6,"M/s. Coral Waters, No. 8E, KIADB Industrial Area, Hoskote Taluk, Banglaore Rural District",720
7,"M/s. Royal Touch, No. 3/2, 2nd Cross, Ezakiel Industrial Estate, K. G Halli, Nagawara Main Road, Banglaore",360
8,"M/s. Pharmateck Consultancy, Sy. No. 40/1, Mangammanapalya, Bommanahalli",300
9,"M/s. Cerebra Integrated Technologies Ltd., Plot No. 41 to 46, Appasandra village, KIADB Indl. Area, Narasapura Hobli, kolar Taluk and District",39000
10,"M/s. AGK Enterprises, Unit-I, No 33/A, Industrial “A” Layout, Bannimantap, Mysore - 570015",360
11,"M/s. Aptus Recycling Pvt. Ltd., Sy No. 241/4B, Magnur Village, Kirgavalu Hobli, Malavalli Taluk Mandya District- 571430",300
12,"M/s. E-Parisara Pvt. Ltd., No. 30-P3, Dabaspet Bangalore",9288
13,"M/s. Tech Logic, Unit-2, Shed No. 36, 2nd  Main, Ranganathapura, Bangalore - 560 044",360
14,"M/s. E-Scrapy Recyclers, No.106, Andrahalli Main Road, Byreshwara Industrial Area, Peenya 2nd stage, Bangalore - 560 058",720
15,"M/s. KH E-Waste Recyclers, No. 104, 1st Main Road, 4th Cross, Azeez Sait Industrial Area, Nayandahalli, Bangalore – 39",360
16,"M/s. RPN Industries, Plot No B2, KSSIDC Industrial Area, Kumbalgodu, Mysore Road, Bangalore-74",312
17,"M/s. I Seven, # 9/4, Kachohalli Industrial Estate Kachohalli, Near Saibaba Temple, Laxmipura Post, Bengaluru- 562123",300
18,"M/s. Greenscape Eco Management Pvt. Ltd., Plot No. R-12, Veerasandra Indl Area, Anekal Tq, Bangalore Urban District – 100",600
19,"M/s. Trishyirya Recycling India Pvt. Ltd., No. 315, 4th Phase, Peenya Industrial Estate, Bangalore - 560 058",360
20,"M/s. E Pragathi Recycling Plot No. 66, Road No. 18, Anthaasanahalli Indl. Area, IInd Phase, Tumkur",3600
21,"M/s. Ingram Micro India Pvt. Ltd., I Floor, Plot No. 1-4, Sy No. 5/2, 15th Km, Singasandra Post, Baretena Agrahara, NH-7, Hosur Main Road, Bangalore- 560100",300
22,"M/s. Vans Chemistry, Plot No. 94/5, Shed NO. 13R14, SRRLayout, Kannalli Village, Bangalore- 560094",1440
23,"M/s. Moogambigai Metal Refineries, Unit (3), Plot No. 174, Industrial Area, Baikampady Mangalore- 575011",1248
24,"M/s. Sogo Synergy Private Limited, Shed No. A- 57, KSSIDC Industrial Estate, Bommasandra, Hosur Road, Anekal Taluk, Bangalore Urban District – 560099",1296
25,"M/s. MKK E-Waste Enterprises, Shed No. 292, Belur Industrial Area, Belur, Dharwad Dist- 580011",360
26,"M/s. BSMR Metals, No. R. O 7, KSSIDC Industrial Estate, Veerasandra II stage, Attibele Hobli, Bangalore Urban District",360
27,"M/s. Mak Technology Industrial, Shed No. SP-5, Veerasandra KSSIDC Industrial Estate, Phase 0- 11, 3rd Cross, Huskur Min Road, Electronic City Post, Bengaluru",300
28,"M/s. Earth Sense Recycle Pvt. Ltd,Printech Park Cluster 1st Phase,Plot No:A17,Kanakapura Taluk,KIADB Industrial Area Harohally Village Han,Harohalli,Ramanagara,Bangalore- 562112",1200
29,"M/s. 4R Recycling Pvt Ltd, Shed No A-5,Industrial Estate,Peenya 3rd Stage Industrial area,Nallakadirenahalli Village,Yeshwanthpur Hobli,Bangalore North Taluk, Bangalore.",900
30,"M/s. Prakruthi Recycling Pvt. Ltd., Sy No. 22, Flat No. 103, 5th Block, 5th Cross, SSI Area, Rajajinagar, Bangalore- 560010",999.6
