Sno,Name/Address,Installed Capacity (MTA)
1,"Arihant E Recycling Pvt Ltd, Gut No.307/1, Shahada Road, Dondaicha, Tal-Sinkheda, Dist- Dhule.",2000
2,"Eco-Recycling Ltd., Eco-House, Near Top Glass Enclave, Bhoipada, Near Range Office, Sativali Road, Vasai (E), Dist. Palghar",7200
3,"E-Incarnation Recycling Pvt. Ltd.  Plot No. J-56, MIDC Area, Tarapur, Boiser, Dist: Palgar, Maharashtra - 401506.",950
4,"Evergreen Recyclekaro India Pvt. Ltd., Gut. No. 113/A, Village Pali, Tal. Wada, Dist. Palghar",7500
5,"Hi-Tech Recycling (I) Pvt. Ltd, Property No.193, Gat No. 89, Pune-Satara Road, Shindewadi, Tal: Bhor, Dist:- Pune",1410
6,"Justdispose Recycling Pvt Ltd. (Unit-II), S.No. 42/5,Kaddu Industrial Estate, Sativali Phata,Vasai (E), Tal-Vasai,Dist- Palghar.",1200
7,"Pranam Enterprises, Sr. No. 286/116, Next to Badhe, Vill. Urali Deveshi, Tal. Haveli, Dist. Pune",1000
8,"Techeco E-Waste Namo LLP, Gat No. 155 B/2, Village Dhakambe, Tal. Dindori, Dist. Nashik",9360
9,"Threco Recycling LLP, Survey No. 153-3 & 149-1, Hedavli, Dist- Raigad.",3000
10,"WE-The Recycling Company, H. No. 2212, Sr. No. 9-1 N, Behind Essar Petrol Pump, Village Borpada, Tal. Bhiwandi, Dist. Thane",800
11,"ECO RESET PRIVATE LIMITED PLOT NO. 19/1, MOUZA BHOWARI, KAMPTEE, NAGPUR, MAHARASHTRA - 441001",10200
12,"ECO Friend Industries, Plot No. A-205, TTC Industrial Area, MIDC Pawane, Navi Mumbai,Tal. & Dist. Thane",1000 240
13,"A. S. ENTERPRISES SHOP NO 4 SHANKAR TEMPLE JASMINE BLDG PESTAM SAGAR ROAD NO 4 CHEMBUR,Chembur,Mumbai Suburban - 400089",500
14,"AG Enterprises, Gat No. 815 (1), Kudalwadi, Chikhli, Pune 411062",365
15,"Alfa Trading Co. KOLHAPUR ESTATE,YADAV NAGAR,,KHERANI ROAD,SAKINAKA,Andheri,Mumbai Suburban - 400072",80
16,"Aman Trading Co. F/1, Annasagr Market, Behind Farooqi Hotel, Kurla Andheri Road, Jarimari, Kurla (W), Mumbai 400072",100
17,"Ambar Enterprises Awutade, Handewadi, Tal. Haveli, Dist. Pune 411028",250
18,"Amiable Electroning Pvt. Ltd. Plot No. D-141, Shirawane, TTC Industrial Area, MIDC Shiewane, Nerul, Navi Mumbai",750
19,"Anand Computer System 2160 B, Sadashiv Peth, Swamipuram Bldg, Shop No. 7,8,9, Pune - 411030",350
20,"Ancus India Reprocessing Pvt. Ltd., shop No. 2, Bldg. No. 1, Tiwari Estate, Vill:-Dhaniv, Nalasopara, Vasai",450
21,"Aqsa Stamping, Plot no. 55, Rangara Industrial Estate, 33/35, Kiravali (Adivali), Tal. Panvel, Dist. Raigad.",300
22,"ARSH RECYCLING PRIVATE LIMITED GAT No. 1750, RANJANGAON GANPATI, PUNE NAGAR ROAD, Ranjangaon Ganpati, Pune - 412209",2400
