Sno,Name/Address,Installed Capacity (MTA)
1,"M/s. H.M.E-waste Management G1-226, RIICO Ind.Area, Kehrani Bhiwadi (Extn.) Tijara Distt- Alwar",895
2,"M/s. Dhruv Techengineers Pvt. Ltd., G-1209, Rampur mandana, Industrial Area, Bhiwadi, Alwar",2575
3,"M/s  Greenscape  Eco Management Pvt.(Unt-II), F-588 & 591 MIA Alwar",49170
4,"M/s Greenscape Eco Management Pvt Ltd F- 584-585, MIA, Alwar",1200
5,"M/s  ETCO  E-waste  Recycler  pvt.  ltd,  SB-23, Shilp Bari Road, 1415 VKI Area, Jaipur",1446
6,"M/s. Universal E-Waste Recycling, G1-117 (B), RIICO Industrial Area, Alwar",450
7,"M/s  Green  Leaf  Recycling  Industries,  G-166- 167, West part, RIICO Ind Area Bagru Jaipur",1380
8,"M/s   Shukla   E-Waste   Processors,   H-309   (B) RIICO Industrial Area, Bhiwadi, Tijara, Alwar.",795
9,"M/s  Vasoo  Metals,  (Division-III)  G-287,  MIA, Alwar",822.67
10,"M/s.   GS   International,   G1-101,   Shri   Khatu Shyam Ji Ind. Complex, Ringus, Sikar",600
11,"M/s.  Adatte  E-Waste  Management  Pvt.  Ltd., C6/23,  Opposite  to  Post  Office  ,  Safdarganj Development Area, New Delhi",1825
12,"M/s.  Green  Recycling  Waste  Management,  J- 983, RIICO Ind. Area, Chopanki, Tijara, Alwar",303
13,"M/s. PWL Ventures, B137, Queen Road, Vidyut Nagar  B,  Jaipur  (Plot  no.-  F142,  Road  no.-6, RIICO Ind. Area, Bindayka, Jaipur)",5000
14,"M/s. Green India Waste Management, G-1/565, RIICO Ind. Area, Khuskhera, Tapukaa, Bhiwadi, Alwar",1200
15,"M/s EPRAGATHI Recycling Pvt. Ltd., P.No. 29, SKS Industrial Area Ringus, Tehsil- Srimadhopur, Distt- Sikar- 332404",2400
16,"M/s Hydro Engineers, H1-929, RIICO Industrial Area, Chopanki, Bhiwadi, District- Alwar",450
17,"M/s. Urban Metals, E-2118, Ramchandrapura RIICO Industrial area, Sitapura, Tehsil: Sanganer, District-Jaipur",480
18,"M/s. Fateh Enviro Lab, Khasra No. 1036/14, Industrial Area, Jasol, Balotra, Barmer 344022",350
19,"M/s Abaad Developers Private, Limited at G1- 747, RIICO INDUSTRIAL AREA, CHOPANKI, BHIWADI, Alwar Rajasthan, 301019.",700
20,"M/s Green Web Recycling, H1-865, Industrial Area, Manda-II, Chomu, Jaipur 303702",1050
21,"M/s Eraw Waste Management LLP, Plot no E-44, RIICO Industrial Area, Sarekhurd, Tijara, Alwar",1690
22,"M/s Golden Green Recyclers, G1-11, S.K.S. Industrial Area, Ringus, Sri Madhopur Ringus, Sikar 332404",750
23,"M/s. Vinay Traders, F-241-242, RIICO Ind. Area, Palra, Ajmer",2500
24,"M/s  GPS  International,  G1-119  Industrial  Area Manda Phase-I, Chomu, Jaipur- 303712",900
25,"M/s Greenlet Recyclers Private Limited, Plot No G-15-G, Sotanala Industrial Area, Behror, Tehsil- Behror, District- Alwar",1500
26,"M/s Marss Recycler Private Limited G-5 Industrial Area Manda, Tehsil-Chomu (26 E-168 Near Meena Krishi Farm Murlipura Scheme Jaipur- 302039)",700
27,"M/s S.B.J. & Company F-137, Growth Centre, RIICO Industrial Area, Dholpur",876
