Sno,Name/Address,Installed Capacity (MTA)
1,"M/s.     Tritech     Systems,     No.165/3,     Porur, Chennai- 116",420
2,"M/s. Genbruze Solutions Pvt. ltd., S. F. No. 9.28, 29pt,    Athipattu    Village,    Ambattur    Taluk,Chennai District",1100
3,"M/s. Ecosible Recyclers Pvt Ltd, No.154A/B,8th Mahatma Gandhi Road, Tass Industrial Estate, Ambattur, Chennai – 600098.",6000
4,"M/s.   Green   Era   Recyclers   37,   Sivanandha Industries   Estate,   Dr.   M.S.   Udhayamurthy Nagar,Thadagam Road,     Edayarpalayam, Coimbatore District - 641025",146
5,"M/s.  Green  India  Recyclers,  SF.  No.  26/1B, Kovilpalayam       Road, Soolakal Village,Coimbatore District.",456
6,"M/s. A. K. Enterprises, No:12, Chakarapani St, Velacherry, Chennai-32.",170
7,"M/s. Shri Raaam Recycling, No. DP-29, SIDCO Industrial Estate,   SIPCOT Industrial Complex, Gummidipoondi- 601201",504
8,"M/s.  JADG  India  E-Waste  Recyclers  Pvt.  Ltd., SF  No.  256/1A1,  Kollur  Village,  Kilikodi  Post, Ponneri Taluk, Tiruvallur- 601206",600
9,"AER Worldwide india Pvt Ltd, No.774,Elandandheri ,sadayankuppam village, near andar kuppam Check Post, Manali New Town, Chennai – 600103.",12000
10,"M/s.   Abishek   Enterprises,   SF   No.   2G,   2nd Ambattur, Chennai-600098",6000
11,"M/s. Virogreen India Pvt. Ltd., No. 297/1B2, No. 49, Pappankuppam Village, SR Kandigai Road, Gummidipoondi Taluk, Tiruvallur-601201",15000
12,"M/s.   Earth Sense Recycle Private Limited, Survey  No.247,Kanttankulathur Panchayat,Thenmelpakkam  Village,Singaperumal Kovil, Kanchipuram, Tamil Nadu- 603204",4248
13,"M/s. Envirogreen E waste recycling Solutions, S.F.No.   2134,   Plot   No.   65,   Palur   Village, Chengalpattu Taluk & District",1900
14,"M/s.  Leela  Traders.,  Plot  No.  C-15/1,  CMDA Industrial      Complex      Maraimalai Nagar, Kancheepuram District",2640
15,"M/s.SEZ Recycling,TP-7,IVth Avenue,mahindra World City Developers Limited,Industrial Estate,SEZ Area,Thenmelpakkam Village,Chengalpattu Taluk,Kancheepuram District",1500
16,"M/s Trishyiraya Recycling India Pvt. Ltd., Plot No.A-7,     Phase-I,     MEPZ-SEZ,     Tambaram, Chennai-600 045",3100
17,"M/s.   S.   P.   P.   Enterprises,   S.   No.   184-4C, Mambakkam  Village  and  Post  Sriperumbudur Taluk Kanchipuram District",1080
18,"M/s. RBIA Minerals and Metals Pvt. Ltd., S. F. No. 205-1B2A, Knadur Village, Sriperumbudur Taluk, Kancheepuram District",1400
19,"M/s.  Punithan  Enterprises Unit  –II,  No.  113/19 part,   Rajiv   Nagar,   Peinjambakkam,   Gundu Perumbedu Post SPR Talu, Kancheepuram Dt- 601301",300
20,"M/s.    K.    P.    P    Enterprises,    No.    535-3C, Santhavellore  Village,  Sunguvarchatram  Post, Sriperumbudur Taluk, Kancheepuram District",1000
21,"M/s.   G   S   ENTERPRISES   S.F NO:254/2A2A, evalurkuppam Village,Sriperumbudur Taluk,Kancheepuram Dist 602105.",8400
22,"M/s.Enviro  Metals Recyclers Private Limited Pvt Limited Aluminium Division S.No.104 and 106,Ezichur Village,Sriperumbudur Tk,Kancheepuram District.",12000
23,"M/s. World Scrap Recycling Solutions Pvt. Ltd.,S.No.351/7,Beemanthangal     Village, Sriperumbudur Taluk, Kancheepuram District",720
24,"M/s. Green E Waste Private Limited, S. F. No. 294/pt,  Ayanambakkam  Village,  Poonamallee Taluk, Tiruvallur District.",422
25,"M/s.  Southern  Alloys,  DP  No.  S-105  and  106, SIDCO Industrial Estate, Kakallur Village Taluk and District",540
26,"M/s.  Micro  E-Waste  Recyclers,  SF  No.  301/3, Varaganeri  Village,  Trichy  East  Taluk,  Trichy District.",900
27,"M/s.   M.   G.   Traders,   No.   86,   Nehru   Street, Teachers Colony, Ambattur, Chennai - 600053",600
28,"M/s.  Udhaya  Traders,  No.  242,  Tiny  Sector Ambattur Industrial Estate, Chennai – 600058",84
29,"M/s Victory Recovery & Recycle Technologies India Pvt.Ltd., 672/2, Doubal Dragon Industrial Park,KannuR Village & Post Kottaiyur,Thiruvallur,District-Tamil Nadu -602 108",100
30,"M/s.  TES  AMM  Private  Limited,Plot No.A-18, SIPCOT Industrial Growth,Centre Oragadam,Panruti ‘A’ Village, Sriperumpudur,Kanchipuram District Tamil Nadu – 630 304",30000
31,"M/s      Arockia      Enterprises,      S.F.No.4/1E, Seevaram      village,      Sholinganallur      taluk, Chennai – 600 097",216
32,"M/s  Ascent  Urban  Recyclers  Pvt  Limited,  SF No.62/1B,  2A2,  Padur  Road,  Mevalurkuppam village,  Sriperumbudur  taluk,  Kancheepuram district, Pin - 602 105",400
33,"M/s Blooming Recyclers, Plot. No. D9/2, SIDCO Industrial       Estate,       Maraimalai       Nagar, Kizhikaranai village, Chengalpattu district.",730
34,"M/s E PROCESS House c/o Bharat Electronics Limited,   SF   No   3   &   10/1   Nanthambakkam village, Alandur taluk, Chengalpattu district",435
35,"M/s    INAA   Enterprises,    DP   No.    AC-31/24, Thirumudivakkam   village,   Kundrathur   taluk, Kancheepuram district",300
36,"M/s  John  Firm  SF  No.144/1C2,  Kerekodihalli village,     Karimangalam     taluk,     Dharmapuri district.",300
37,"M/s  KGN  Electronics,  No.48  A,  Dr  Ambedkar College Road, Erukkenchery village, Perambur taluk, Chennai district",250
38,"M/s  Ponniamman  Enterprises,  SF  No.  216/3, Tiruvallur  village,  Tiruvallur  taluk,  Tiruvallur district",12000
39,"M/s  R.M  Computers,  Plot  No.229,  9th  Street, Ambattur Chennai – 600098",228
40,"M/s Sai Sri Waste Management Pvt Ltd, SF No 443/1B2,       443/2A,       Padaveedu       village, Kumarapalayam taluk, Kumarapalayam district",1680
41,"M/s   SKV   E-Waste   Recycling   Pvt   Ltd,   Plot No.154  A&B,  Tass  Industrial  Area,  Ambattur SIDCO Industrial Estate, Chennai – 600 098",560
42,"M/s Tharani Electronics Waste, SF No.381/3pt, 381/2pt,  384/2pt,  384/3  pt,  Sarkar  Samakulam village, Annur taluk, Coimbatore district",207
