Sno,Name/Address,Installed Capacity (MTA)
1,"M/s  Earth  Sense  Recycle  Pvt.Ltd.,  Plot No.37, APIIC Industrial park, Mankal (V), Maheswaram (M), Rangareddy District. Telangana- 501359",22775
2,"M/s  Z  Enviro  Industries  Pvt.  ltd.,  Pulimanmidi (V), Kandukur (M) Rangareddy District.",30000
3,"M/s   Silicon   Planet   Recycling   Pvt.   Ltd.,Sy. No.811/A, Ankireddypally (V) &Grampanchayat Keesara (M) , Medchal Malkajgiri District",1000
4,"M/s. EnviroKare Recycling Solutions Pvt. Ltd.,Sy.No.402,Raikal (V), Farooqnagar (M), Rangareddy District.",2549
5,"M/s  Shreem  Mythri  Enterprises,  Plot  No.50, phase-III, IDA Cherlapally, kapra (M), Medchal- Malkajgiri District.",3700
6,"M/s. Elifecycle Management Private Limited, Sy. No. 468, 470, 471 & 472, Theegapur, Kothur Rangareddy District",18900
7,"M/s. Malpani Antenna Electronics Pvt. Ltd., Plot No.     D4,     Phase-I,     IDA,     Pashamailaram, Patancheru (M), Sangareddy District",687
8,"M/s.  Green  Wave  E-waste  Recycling,  Sy.  No. 1880E, 1880EE, Nandigama (V&M), Rangareddy District",4680
9,"M/s. Pure Earth Recyclers Private Limited, Sy. No.924, 994, Rudraram (V), Patancheruvu (M), Sangareddy District",5050
10,"M/s   Enviro   Collection   Centre   (Dismantling Unit),   Plot   No.1-185/2/A,   Sy.   NO.298   part, Phase-I,   IDA   Jeedimetla,   Medchal-Malkajgiri District.",720
11,"M/s    Ramky    E-Waste    Recycling    Facility, Hardware Park, kancha, Imarat of Raviryal (v), Maheswaram (M), Rangareddy District.",7840
12,"M/s   Earthbox Ventures(p)Ltd.,(E-waste Dismantling Unit),Sy.Nos.29,30,&85, Uddemarri(V), Shamirpet    (M),    Medchal- Malkajgiri, District.",3600
13,"M/s Bellus E Waste, Sy.No.4-120, Ramachandra Puram (GP), Kondurg (M), Rangareddy District.",3600
14,"M/s Shreem Mythri Enterprises, Plot No.50, phase-III, IDA Cherlapally, kapra (M), Medchal- Malkajgiri District.",600
15,"M/s. Earthbox Recycling Private Limited Sy No 114/1, plot no s-2/12, Raviryala Grampanchayat, Maheshwaram (V & M), Rangareddy District",2340
16,"M/s TES-AMM India Pvt. Ltd Plot no 79, Sy no 847,   IDA   Medchal,   Medchal   (M),   Medchal- Malkajgiri District",1800
17,"M/s Kamal Electronics Refurbishing of E-waste Solutions,Sy No:227/LU,227/E1m 227/E2,227/E/2/1 AtmakuR(V) Sadasivpet(M),Sangareddu District.",13680
18,"M/s.  Chilkuri  Enterprises,  Sy  No.14,  Keesara (M), Medchal-Malkajgiri District",540
19,"M/s.  Reboot  Resources  Private  Limited,  Sy. No.113 Part, Patelguda (V), Ibrahimpatnam (M), Rangareddy District",9468
20,"M/s. Green Enviro E Waste Recycling, Sy. No. 729, Pochampally (V), B. Pochampally (M), Yadadri Bhuvanagiri District",8740
21,"M/s. Recytronics Waste Solutions LLP, Sy.No.96/Part/C, Patelguda, Mangalpalle (V), Ibrahimpatnam (M), Rangareddy District",4680
22,"M/s. Exclusive PC World, Plot No.30/9, Sy.No.460/2, TSIIC, IDA Mankhal, Maheshwaram (M), Rangareddy Distric",446
23,"M/s. Ali Traders, Sy.No.491/2, Alampally (V),Vikarabad(M), Vikarabad District",720
