Sno,Name/Address,Installed Capacity (MTA)
1,"M/s. Auctus - E Recycling Solutions Pvt. Ltd., F-637, M. G. Road, Industrial Area, Ghaziabad",1800
2,"M/s.  Mahaluxmi  metal  Alloys  (India)  Pvt.  Ltd., Modinagar, Ghaziabad",30000
3,"M/s.    N.K.    Products,    58-59,    M.    G.    Road, Ghaziabad",9000
4,"M/s  Bharat  Oil  Co.E-18,  Site  –  IV,  Sahibabad, Industrial Area, Ghaziabad",4000
5,"M/s Plant Green Recycling Pvt. Limited, G-129, Phase – I , M.G. Road, Ghaziabad",1500
6,"M/s.  Rocket  Sales,  Plot  No.  1-12,  I/A,  M.  G. Road, Hapur",300
7,"M/s.  Ariglonton  Information  System  Pvt.  Ltd., Plot No C-13, Site-4 Sahibabad Industrial Area Ghaziabad",40000
8,"M/S  Fiz  Trading  Company,  C55,  Sector-B-3, Trans  Delhi Signature City Tronica City,  Loni, Ghaziabad",365
9,"M/S. Tele Supar Electronics India Pvt Ltd, B-15, Roop       Nagar       Industrial       Area,       Loni Ghaziabad,201102",730
10,"M/s R.R. Recycler Pvt. Ltd., Khasra No.-115, M, Vill- Achraunda, Tehsil & District- Meerut",8000
11,"M/s.   6R   Recycling,   Plot   No-272,   MG   Road industrial area, Hapur",12000
12,"M/s 3R Recycler Pvt Ltd. Unit 2, Plot No. A-61/2, UPSIDC      Industrial      Area,      Sikandrabad, Bulandshahar,  Buland  Shahar-  203202  Uttar Pradesh",25000
13,"M/s Circularity Solutions PrivateLimited ( M/s. Karo Sambhav Pvt.Ltd., )  Khasra 95-96, Village -  Sikhera,Hazazari Industrial Area,  Modinagar, Ghaziabad",30000
14,"M/S Ozone Waste LLP Plot No.- C-25, Upsidc, M.G. Road, Industrial Area, Hapur",6000
15,"M/s.  Arsh  Recycling  Pvt.  Ltd.,  Plot  No.  203, UPSDIC, I/A, M/G. Road, Ghaziabad",15000
16,"M/s.   Auctus   Recycling   Solutions   Pvt.   Ltd, Habibpur, Greater Noida",20000
17,"M/s. Khan Traders, B-5, Site No. 4,    Panki Ind. Area, Kanpur",7190
18,"M/s.  Green  Tech  Recycling,  Khasra  No.  645, Acchraunds,     Bahdurpur     Road,     Partapur, Meerut",9000
19,"M/s.   Narora   Atomic   Power   Station,   Narora, Bulandshahar",10
20,"M/s    Metal    Alloys,    E-46,    Industrial    Area, Ramnagar, Varanasi",1825
21,"M/s     Comwen     Information     Technologies Pvt.Ltd.,     127/35B,     ChakRagunath,     Naini, Allahabad.",300
22,"M/s.   Oasia   Eco   E-Waste   Recyclers   E-160, Industrial Area, Khalilabad, Sant Kabairnagar.",3000
23,"M/s.   Sims   Recycling   Solutions   Plot   No.   1, Udyog Kendrall Ecotech-III, Greater Noida",1250
24,"M/s    J.A.O.    E-Waste    Recycling    Co,    Vill- Jaitpur,Distt-Moradabad.",720
25,"M/s.  HIN  Green  E-Waste  Recycling  Co.  Vill- Jaitpur, Distt-Moradabad",750
26,"M/s  S.R.  Metcast  India  (P)  Ltd  11.8  Km.Agra Mathura Road, Agra.",600
27,"M/s  K.M.  Metals  Suppliers  9/270,271,Mathura Agra.",5000
28,"M/s   Prakash   Metal   House   39/223,   Karwan Lohamandi, Agra.",1500
29,"M/s    Shree   MahaveerJi    Trading    Company, 30/127, Chippitala, Agra",375
30,"M/s.  E-Waste  Recyclers  India,  E-50,  UPSIDC Industrial   Area,   98Km   Stone,   NH-2,   Kosi Kotwan, Mathura",6000
31,"M/s E-Waste Recyclers Industries K40, UPSIDC Industrial area, NH-2 Kosikalan, Mahura",150
32,"M/s Supar Trading Company, Plot No.-3 Govt. Industrial Estate, Talkatora Road, Lucknow",365
33,"M/s.  V.  R.  Techno  Enviro  Services  Pvt.  Ltd., Khasra   No.   440,   Indira   Priyedarshni   Ward Jarhra Indira Nagar Lucknow",365
34,"M/s   Greenzon   Recycling   Pvt.   Ltd.,   R   30, UPSIDC,      Industrial      Area,      Sikandrabad, Bulandshahar.",6022
35,"M/s  Sachin  Enterprises,    123/751,  block-T  74 Pratapganj     Gadariyan     Purwa,     Fazalgang, Kanpur",2500
36,"M/s Greeniva Recycler Pvt. ltd., Plot No. G-284, M.G. Road, Industrial Area, Hapur",780
37,"M/s S. Malik Traders, plot No.93, 94 vill-Budhera jahidpur, Meerut",365
38,"M/s Royal Faiz Recycling (P) Ltd, I-22, I.A.M.G. Road, Hapur",12000
39,"M/s 3 C Recycler, F-326, I/A, M. G. Road, Hapur",3240
40,"M/s Life E-Recycling (p) Ltd., F-435, UPSIDC I/A, M. G. Road, Hapur",9000
41,"M/s Hind Recycler (p) Ltd., Plot No.F-203, M.G. Road, Hapur",9000
42,"M/s  Hayat  Recycler,  F-53,54  I/A,  M.G.  Road, Hapur",1728
